ASN: 11404 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18888 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6939  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3593  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 53828 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7215  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 22773 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4181  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 109   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54332 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 55247 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2902  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 22363 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36817 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32590 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7342  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 33455 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14737 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62715 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36841 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32869 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3842  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13370 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 15317 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 40027 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13649 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 15412 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 20428 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7385  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 30607 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25899 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 22702 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 53281 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 46562 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 55236 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 15290 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 57    , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14821 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13692 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 27400 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 10026 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4739  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 8075  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 195   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18541 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2936  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 292   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 73    , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 22388 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 668   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2648  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7539  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 55819 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 3851  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 27678 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 10242 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21577 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21556 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18106 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 18530 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7782  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 803   , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25764 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 9500  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 6315  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4043  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 24514 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13331 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 14380 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 16589 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32354 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 2044  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32522 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 16713 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 23265 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 4258  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32546 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 201303, min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21947 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 33211 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 62474 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 31638 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 23138 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 36012 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 40065 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 11922 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54329 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 7752  , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 32365 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 13857 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 25985 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 21804 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 30543 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 393626, min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 54523 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
ASN: 33490 , min_dist: 5, vp: planetlab4.cs.uoregon.edu.csv 
